organization,product,address,telephone,category,decision_number,decision_date,permit_place,operational_date,description,status,barcode,email,website
PT. Bank Amar Indonesia,,"Jl. Sangoyudan No. 55 , SURABAYA 60275",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Kesejahteraan Ekonomi,,"Jl. R.P. Soeroso No. 21, JAKARTA PUSAT 10330",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank BCA Syariah,,"Jl. Jatinegara Timur No. 72, JAKARTA TIMUR 13310",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. BANK JAGO, Tbk",,"Jl. Otto Iskandardinata No. 18 , BANDUNG 40171",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Multi Arta Sentosa,,"Jl. Graha Bank Mas Setiabudi Selatan Kav.10, JAKARTA 12920",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Mayora,,"Mayora Building 4th Floor
Jl. Tomang Raya Kav. 21-23, JAKARTA BARAT 11440",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Index Selindo,,"Gedung Plaza Permata Lantai 8
Jl. MH. Thamrin Kav. 57, JAKARTA PUSAT10350",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Fama International,,"Jl. Asia Afrika No. 115, BANDUNG 40112",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Mandiri Taspen Pos,,"Kantor Pusat 4 Floor
Jl. Melati No. 65 Denpasar, BALI 80233",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Victoria International,,"Jl. Jendral Sudirman No. 1 , JAKARTA 12920",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Harda International,,"Gedung ASEAN Tower Lantai 1-3,                                                                     
Jl. Samanhudi No. 10, JAKARTA PUSAT 10710",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT BANK IBK INDONESIA TBK,,"Wisma GKBI Suite UG-01
Jl. Jend Sudirman Kav. 28, JAKARTA PUSAT",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT.BANK NET INDONESIA SYARIAH,,"Sonat Topas Tower Lantai 3
Jl. Jend. Sudirman Kav. 26, JAKARTA 12920",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank CTBC Indonesia,,"Wisma Tamara, Lantai 16 
Jl. Jend. Sudirman Kav. 24 , JAKARTA 12920",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Commonwealth,,"World Trade Centre 5, 5th Floor
Jl. Jend Sudirman Kav. 29-31, JAKARTA 12920",,KPDHN,,,,,,Berizin (Telah Operasional),,,
KPwDN BANDUNG,,"JL. BRAGA NO. 108, JAWA BARAT",022-4230223,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BRI KC PURWAKARTA,,"JL. KOL.KORNEL SINGAEINATA NO. 68 PURWAKARTA, JAWA BARAT",200186,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BANK MANDIRI KC. SUKABUMI,,"JL. JEND. SUDIRMAN NO. 124 SUKABUMI, JAWA BARAT",221319,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. CIANJUR,,"JL. DR. MUWARDI NO. CIANJUR (43215), JAWA BARAT",263262370,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. GARUT,,"JL. JEND. AHMAD YANI NO. 57 GARUT (44117), JAWA BARAT",262233946,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. SUBANG,,"JL. OTISTA NO. 87 SUBANG, JAWA BARAT",413141,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. SUMEDANG,,"JL. PRABU GEUSAN ULUN NO.113 SUMEDANG (45312), JAWA BARAT",261201867,KPWD,,,,,Member,Berizin (Telah Operasional),,,
DIVISI PENYELENGGARAAN KLIRING,,"GEDUNG D. LT.3 JL.MH.THAMRIN NO.2 JAKARTA PUSAT, DKI JAKARTA",021-29818888,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
Kantor Perwakilan Bank Indonesia Provinsi Banten,,"Jl. Jayadiningrat No.16 Kaujon, Serang, Banten , BANTEN",0254-223788,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BNI KC. KARAWANG,,"JL. TUPAREV NO. 301 KERAWANG (41312), JAWA BARAT",267402293,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BANK MANDIRI KC. BOGOR,,"JL. IR. H, JUANDA NO. 12, JAWA BARAT",313644,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN JEMBER,,"JL. GAJAH MADA NO.224, JAWA TIMUR",3314854,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BPD JATIM KC. BANYUWANGI,,"JL.DIPONEGORO 7 BANYUWANGI, JAWA TIMUR",33342175,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BANK MANDIRI KC. SITUBONDO,,"JL.JEND.AHMAD YANI NO.102 SITUBONDO, JAWA TIMUR",33867185,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN YOGYAKARTA,,"JL. PANEMBAHAN SENOPATI NO. 4, D.I. YOGYAKARTA",274377755,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN KEDIRI,,"JL. BRAWIJAYA NO. 2 KEDIRI, JAWA TIMUR",35468211,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BRI KC. TULUNGAGUNG,,"JL.P.DIPONEGORO NO.2-B TULUNGAGUNG, JAWA TIMUR",355329328,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BPD JATIM KC. BLITAR,,"JL.THAMRIN BLVD CT.LT.1 NO.1 THAMCITY JAKPUS, JAWA TIMUR",342801462,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. MADIUN,,"JL.DR.SUTOMO NO.87 MADIUN (63132), JAWA TIMUR",351454646,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN MALANG,,"JL. MERDEKA UTARA NO. 7, JAWA TIMUR",34136605,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BRI KC. PROBOLINGGO,,"JL.SUROYO NO.30 PROBOLINGGO, JAWA TIMUR",335424130,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. LUMAJANG,,"JL.ALUN-ALUN SELATAN NO.3 LUMAJANG, JAWA TIMUR",334886374,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN SEMARANG,,"JL. IMAM BARJO SH 4, JAWA TENGAH",24831024,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN TEGAL,,"JL. DR. SUTOMO NO.55, JAWA TENGAH",283352500,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BNI KC. KUDUS,,"JL.JEND.AHMAD YANI NO.55 KUDUS (59317), JAWA TENGAH",291431668,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. MAGELANG,,"JL. JEND.SUDIRMAN NO.42-43, JAWA TENGAH",293365161,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. PURWOREJO,,"JL.JEND.A.YANI NO.1 PURWOREJO Telp.0275321403, JAWA TENGAH",275325459,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. SALATIGA,,"JL.P.DIPONEGORO NO.9 SALATIGA, JAWA TENGAH",298326356,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. PEKALONGAN,,"JL.IMAM BONJOL NO.59 PEKALONGAN (51117), JAWA TENGAH",285422600,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN SOLO,,"JL. JEND.SUDIRMAN NO.4, JAWA TENGAH",271647755,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN SURABAYA,,"JL. PAHLAWAN NO. 105, JAWA TIMUR",313520011,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BRI KC. JOMBANG,,"JL.KH.WAHID HASYIM NO.116 JOMBANG, JAWA TIMUR",321861234,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. PAMEKASAN,,"JL.KABUPATEN NO. 63 PAMEKASAN, JAWA TIMUR",324322946,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KCP. SUMENEP,,"JL. TRUNOJOYO NO. 61 SUMENEP (69415), JAWA TIMUR",328662946,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. BOJONEGORO,,"JL.P.SUDIRMAN NO.17 BOJONEGORO (62111), JAWA TIMUR",353881846,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. TUBAN,,"JL.BASUKI RAHMAT NO.115A TUBAN (62316), JAWA TIMUR",356322647,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BPD JATIM KC. LAMONGAN,,"JL.JEND.SUDIRMAN 72, JAWA TIMUR",311633,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. MOJOKERTO,,"JL. MOJOPAHIT NO.378, JAWA TIMUR",321322402,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BPD JATIM KC. PASURUAN,,"JL.PAHLAWAN NO.18 PASURUAN, JAWA TIMUR",343429130,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN CIREBON,,"JL.YOS SUDARSO NO.7, JAWA BARAT",202685,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN PURWOKERTO,,"JL.JEND.GATOT SUBROTO NO.98 PURWOKERTO, JAWA TENGAH",281631632,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BANK MANDIRI KC. CILACAP,,"JL.JEND.AHMAD YANI NO.100 CILACAP, JAWA TENGAH",282533193,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN TASIKMALAYA,,"JL. OTTO ISKANDARDINATA 28, JAWA BARAT",331813,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN BENGKULU,,"JL. A. YANI NO.1, BENGKULU",73621735,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN Bangka Belitung,,"Jl.Jend. Sudirman No. 51, KEP BANGKA BLT",,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN JAMBI,,"JL. JEND.A.YANI NO.14, JAMBI",74162277,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BANK MANDIRI KC. MUARA BUNGO,,"JL.LINTAS SUMATRA KM.1 MUARO BUNGO, JAMBI",74721188,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN BANDA ACEH,,"JL. CUT MEUTIA NO.15, NANGGROE ACEH D",65133200,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BNI KC. MEULABOH,,"JL.IMAM BONJOL MEULABOH DREN RAMPAK, ACEH BARAT, NANGGROE ACEH D",6557006072,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN MEDAN,,"JL. BALAIKOTA 4, SUMATERA UTARA",614512777,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BRI KC. KABANJAHE,,"JL.VETERAN NO.100 KABANJAHE, SUMATERA UTARA",62820420,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BANK MANDIRI KC. RANTAU PRAPAT,,"JL.JEND.AHMAD YANI NO.2  RANTAU PRAPAT, SUMATERA UTARA",62421434,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BANK MANDIRI KC. TEBING TINGGI,,"JL.DR.SUTOMO NO.17 TEBING TINGGI, SUMATERA UTARA",62121723,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN PEMATANGSIANTAR,,"JL.H.ADAM MALIK NO.1, SUMATERA UTARA",622434151,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BANK MANDIRI KC. KISARAN,,"JL.COKROAMINOTO NO.65  KISARAN, SUMATERA UTARA",62341855,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. PADANG SIDEMPUAN,,"JL.PATRICE LUMUMBA I NO.55 P.SIDEMPUAN (22719), SUMATERA UTARA",63421167,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN PADANG,,"JL. JEND.SUDIRMAN NO.22 PADANG, SUMATERA BARAT",75131700,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BRI KC. BUKIT TINGGI,,"JL.AHMAD YANI NO.3  BUKIT TINGGI, SUMATERA BARAT",75222622,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. SOLOK,,"JL.JEND.SUDIRMAN NO.1 SOLOK, SUMATERA BARAT",75522689,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. PAYAKUMBUH,,"JL.JEND.SUDIRMAN NO.6 PAYAKUMBUH, SUMATERA BARAT",75291102,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN PEKANBARU,,"JL. JENDRAL SUDIRMAN, RIAU",76132000,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BANK MANDIRI KC. DUMAI SUDIRMAN,,"JL. JEND. SUDIRMAN NO. 133 A DUMAI, RIAU",31088,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN PALEMBANG,,"JL. JENDRAL SUDIRMAN, SUMATERA SELATAN",71135126,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BPD SUMSEL DAN BABEL KC. PRABUMULIH,,"JL.JEND.SUDIRMAN NO.19 PRABUMULIH, SUMATERA SELATAN",713325049,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. LUBUK LINGGAU,,"JL. JEND.SUDIRMAN NO.42-43, SUMATERA SELATAN",733323254,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BANK MANDIRI KC. BATURAJA,,"JL.SERMA ZAKARIA NO.35-37 BATURAJA, SUMATERA SELATAN",73520687,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN BATAM,,"JL.ENGKU PUTRI, BATAM CENTRE, RIAU",778462280,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BNI KC. TANJUNG BALAI KARIMUN,,"JL.TRIKORA NO.20 TANJUNG BALAI KARIMUN, KEP BANGKA BLT",77721046,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BANK MANDIRI KC. TANJUNG PINANG,,"JL.TEUKU UMAR NO.23 TANJUNG PINANG, KEP BANGKA BLT",77122437,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN SIBOLGA,,"JL. KAPTEN MARULI SITORUS 2, ",63122033,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN BANDAR LAMPUNG,,"JL. HASANUDDIN NO. 38, LAMPUNG",721486355,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BNI KC. KOTABUMI,,"JL.RADEN INTEN NO.60 KOTABUMI (34519), LAMPUNG",72421222,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. METRO,,"JL. JEND.SUDIRMAN NO.42-43, LAMPUNG",72545100,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN LHOKSEUMAWE,,"JL.MERDEKA NO.1 LHOKSEUMAWE, NANGGROE ACEH D",64544000,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BANK MANDIRI KC. LANGSA,,"JL.JEND.AHMAD YANI NO.20  LANGSA, NANGGROE ACEH D",64121023,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN BANJARMASIN,,"JL. LAMBUNG MANGKURAT NO. 15, KALIMANTAN SELATAN",51143681282,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN PONTIANAK,,"JL. RAHADI USMAN 3, KALIMANTAN BARAT",561734134,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BNI KC. KETAPANG,,"JL.MERDEKA NO.133 KETAPANG, KALIMANTAN BARAT",53432146,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BPD KALBAR KC. SINTANG,,"JL.PATTIMURA NO.7 SINTANG, KALIMANTAN BARAT",56521503,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. SINGKAWANG,,"JL.YOS SUDARSO NO.129 SINGKAWANG KALBAR 79124, KALIMANTAN BARAT",56231246,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN SAMARINDA,,"JL. PANGERAN HIDAYAT M IV/6, KALIMANTAN TIMUR",541741022,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN Kalimantan Utara,,"Jl. Mulawarman No. 123, Tarakan, KALIMANTAN UTARA",(0551) 380-7777,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN BALIKPAPAN,,"JL. JEND.SUDIRMAN NO.37, KALIMANTAN TIMUR",542733782,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN PALANGKA RAYA,,"JL. DIPONEGORO, KALIMANTAN TENGAH",536322500,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BRI KC. SAMPIT,,"JL.MT.HARYONO NO.46 SAMPIT, KALIMANTAN TENGAH",53121080,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. PANGKALAN BUN,,"JL.PANGERAN ANTASARI NO.123 PANGKALAN BUN, KALIMANTAN TENGAH",53220145,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN PALU,,"JL. SAM RATULANGI NO.23, SULAWESI TENGAH",451421181,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BNI KC. LUWUK,,"JL.A.YANI NO.51 LUWUK (94701), SULAWESI TENGAH",46121046,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN MAKASSAR,,"JL. NUSANTARA NO. 63, SULAWESI SELATAN",411315188,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BNI KC. PARE-PARE,,"JL.VETERAN NO.41 SULAWESI SELATAN, SULAWESI SELATAN",42121229,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. PALOPO,,"JL.KH.M.RAMLI NO.2 PALOPO, SULAWESI SELATAN",47121836,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BANK MANDIRI KC. WATAMPONE,,"JL.M.H.THAMRIN NO.10 WATAMPONE, SULAWESI SELATAN",48121330,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN MANADO,,"JL. LETJEN. SUPRAPTO 30, SULAWESI UTARA",431868102,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BNI KC. KOTAMUBAGU,,"JL.BOGANI NO.212 KOTAMOBAGU (95711), SULAWESI UTARA",43421549,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. BITUNG,,"KOMPLEK PASAR SENTRAL BITUNG (95522), SULAWESI UTARA",43821080,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN Provinsi Gorontalo,,"Jl.Bypass, Kel.Tamalate, Kec.Kota Timur, Gorontalo, GORONTALO",0435-824444,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN Provinsi Sulawesi Barat,,"Gd. PKK, Jl. AP. Pettarani Kel. Binanga-Mamuju, SULAWESI BARAT",0426-22192,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN KENDARI,,"JL. S. HASANUDDIN NO.150, SULAWESI TENGGARA",401321655,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BPD SULAWESI TENGGARA KC. BAU-BAU,,"JL.KARTINI NO.9 BAU-BAU, SULAWESI TENGGARA",40222424,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN MATARAM,,"JL. PEJANGGIK, NUSA TENGGARA BARAT",370623600,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BPD NTB KC. SUMBAWA,,"JL.WAHIDIN NO.3 SUMBAWA - NTB, NUSA TENGGARA BARAT",371625247,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BNI KC. BIMA,,"JL.SULTAN HASANUDIN NO.4 BIMA, NTB 84117, NUSA TENGGARA BARAT",37443021,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN DENPASAR,,"JL.WR.SUPRATMAN NO.1, BALI",361248982,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BANK MANDIRI KC. SINGARAJA,,"JL.JEND.AHMAD YANI NO.60 SINGARAJA, BALI",36225222,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN KUPANG,,"JL.TOM PELLO NO.2, NUSA TENGGARA TIMUR",380832047,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BPD NTT KC. MAUMERE,,"JL.NONG MEAK NO.1 MAUMERE KAB.SIKKA, NUSA TENGGARA TIMUR",38221440,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BRI KC. ATAMBUA,,"JL. IGNATIUS J KASIMO NO.10 BEIRAFU ATAMBUA, NUSA TENGGARA TIMUR",967584627,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN AMBON,,"JL. RAYA PATTIMURA WIJK C BLOK IV / 120, MALUKU",911352761,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN JAYAPURA,,"JL. DR. SAM RATULANGI NO.9, PAPUA",967534581,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
BANK MANDIRI KC. BIAK,,"JL.JEND.AHMAD YANI NO.2 BIAK, PAPUA",98121527,KPWD,,,,,Member,Berizin (Telah Operasional),,,
BANK MANDIRI KC. SORONG,,"JL.JEND.AHMAD YANI NO.99 SORONG, PAPUA BARAT",95123146,KPWD,,,,,Member,Berizin (Telah Operasional),,,
KPwDN Papua Barat,,"Jl. Merdeka/Yogyakarta No.1, ",,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
KPwDN TERNATE,,"JL. PAHLAWAN REVOLUSI, MALUKU UTARA",92121217,KPWD,,,,,Bank Indonesia Representative Office,Berizin (Telah Operasional),,,
PT Merenon Solusi Indonesia,,"Menara Mandiri 2 Lt. 11, Jl. Jend. Sudirman Kav. 54-55, Kelurahan Senayan, Kecamatan Kebayoran Baru, Jakarta Selatan",,Non Bank Money Changer Operators,,,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1418.44.000/Jkt,,
PT Benua Asia Abadi,,"Komp. Tanjung Pantun Blok X No 3 Kel. Sei. Jodoh, Kec. Batu Ampar",,Payment Service Provider - License Category 3,22/290/Btm/100,,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),,,
PT. BPD BALI,,"Jl. Raya Puputan Niti Mandala , DENPASAR",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BANK DKI,,"Jl. Ir. H. Juanda III/7-9 , JAKARTA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD SUMSEL DAN BABEL,,"Jl. Gubernur H. A. Bastari No. 7 Jakabaring, PALEMBANG ",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
"PT. BANK PEMBANGUNAN DAERAH BANTEN, TBK",,"Jl.  Sudirman Lingkungan Kemang, Ruko sembilan No. 4-6, BANTEN",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD BENGKULU,,"Jl. Basuki Rahmat No. 6, BENGKULU",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD PAPUA,,"JL. Ahmad Yani 5 - 7 , JAYAPURA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
"PT. BANK JABAR BANTEN, TBK",,"JL. Naripan 12-14 , BANDUNG",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD JAWA TENGAH,,"Jl. Pemuda No. 142 , SEMARANG",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD JAMBI,,"Jl. Jend. A. Yani No. 18 Telanaipura , JAMBI",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD JAWA TIMUR,,"Jl. Basuki Rachmat No. 94-104 , SURABAYA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD KALIMANTAN BARAT,,"Jl. Rahadi Usman No. 10 , PONTIANAK",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD KALIMANTAN TENGAH,,"Jl. RTA Milono No. 12 , PALANGKA RAYA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD KALIMANTAN SELATAN,,"Jl. Lambung Mangkurat No. 7 , BANJARMASIN",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA,,"Jl. Jend. Sudirman No. 33, SAMARINDA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD LAMPUNG,,"Jl. W. Monginsidi No. 182, BANDAR LAMPUNG",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD MALUKU,,"Jl. Raya Pattimura No. 9, AMBON ",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD NUSA TENGGARA TIMUR,,"Jl. W. J. Lalamentik No. 102, KUPANG",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD RIAU KEPRI,,"Jl. Sudirman No. 462 , PEKANBARU",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD SUMATERA BARAT,,"Jl. Pemuda No. 21 , PADANG",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BANK SUMUT (BPD SUMUT),,"Jl. Imam Bonjol No. 18 , MEDAN",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD SULAWESI TENGAH,,"Jl. Sultan Hasanuddin No. 20 , PALU",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD SULAWESI TENGGARA,,"Jl. Mayjend Sutoyo No. 95, KENDARI ",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BANK SULSELBAR,,"Jl. DR. Ratulangi No. 16, MAKASSAR",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BANK SULUT,,"Jl. Samratulangi No. 9, MANADO",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BPD YOGYAKARTA,,"Jl. Tentara Pelajar No. 7, YOGYAKARTA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
"PT. BRI AGRONIAGA, TBK",,"Jl. Warung Jati Barat No. 139, JAKARTA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
"PT. BANK JAGO, TBK.",,"Jl. Otto Iskandardinata 18, BANDUNG",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
"PT. BANK QNB INDONESIA, TBK",,"Jl. Jend. Sudirman Kav. 52-53 , JAKARTA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
PT. BANK BUMI ARTA,,"Jl. Wahid Hasyim No. 234-236  , JAKARTA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
"PT. BANK PERMATA, TBK",,"Jl. Jend. Sudirman Kav. 29-31, JAKARTA",,BI-ETP Member,,,,,,Berizin (Telah Operasional),,,
